pair_index,video_id,mocap_id,time,video_frame,mocap_frame,mocap_x,mocap_y,video_x,video_y
0,6516,52875,2023-03-29 10:21:40.794,3384,4253,-1934.917,-32.437,-1.8199177,1.1211085
0,6516,52875,2023-03-29 10:21:41.794,3389,4278,-1935.248,-32.015,-1.8199129,1.120282
0,6516,52875,2023-03-29 10:21:42.794,3394,4303,-1935.155,-32.037,-1.8199129,1.120282
0,6516,52875,2023-03-29 10:21:43.794,3399,4328,-1935.089,-31.915,-1.8200135,1.1211228
0,6516,52875,2023-03-29 10:21:44.793,3404,4353,-1935.177,-32.044,-1.8198444,1.1204015
0,6516,52875,2023-03-29 10:21:45.793,3409,4378,-1935.302,-32.237,-1.8198444,1.1204015
0,6516,52875,2023-03-29 10:21:46.793,3414,4403,-1935.222,-32.065,-1.8198444,1.1204015
0,6516,52875,2023-03-29 10:21:47.793,3419,4428,-1935.169,-32.147,-1.8198767,1.1203257
0,6516,52875,2023-03-29 10:21:48.793,3424,4453,-1935.424,-32.118,-1.8198937,1.121236
0,6516,52875,2023-03-29 10:21:49.793,3429,4478,-1935.584,-32.074,-1.8198442,1.1203973
0,6516,52875,2023-03-29 10:21:50.792,3434,4503,-1935.22,-31.87,-1.8198453,1.120463
0,6516,52875,2023-03-29 10:21:51.792,3439,4528,-1935.164,-31.846,-1.8198453,1.120463
0,6516,52875,2023-03-29 10:21:52.792,3444,4553,-1935.199,-31.982,-1.8198779,1.1203929
0,6516,52875,2023-03-29 10:21:53.792,3449,4578,-1935.152,-31.9,-1.8198779,1.1203929
0,6516,52875,2023-03-29 10:21:54.792,3454,4603,-1935.198,-31.885,-1.8198444,1.1204015
0,6516,52875,2023-03-29 10:21:55.791,3459,4628,-1935.198,-32.036,-1.8198779,1.1203929
0,6516,52875,2023-03-29 10:21:56.791,3464,4653,-1935.172,-31.928,-1.8198442,1.1203973
0,6516,52875,2023-03-29 10:21:57.791,3469,4678,-1935.212,-32.035,-1.8198459,1.1204937
0,6516,52875,2023-03-29 10:21:58.791,3474,4703,-1935.164,-31.86,-1.8199177,1.1211085
0,6516,52875,2023-03-29 10:21:59.791,3479,4728,-1933.865,-32.631,-1.8200345,1.1212015
0,6516,52875,2023-03-29 10:22:00.790,3484,4753,-1934.111,-32.66,-1.8200692,1.1211663
