model,status,n_parameters,n_points,n_pairs,train_rmse,train_median_error,cv_rmse,cv_median_error,cv_nrmse,cv_group_rmse_mean,cv_group_rmse_se,cv_folds_used
linear,ok,4,600,3,1.0110886732474664,0.6673687878096359,1.4381684057919975,1.224189131382086,3.1670841732915185,1.400328851872234,0.23174066327738693,3
similarity,ok,4,600,3,0.4158403122960809,0.373535758146439,0.7934808654372064,0.7784220382815664,1.7473758153878485,0.7870081461129551,0.07151944409329308,3
affine,ok,6,600,3,0.3915136422176079,0.3207579153570784,0.7630552242587757,0.7141097243069301,1.680373532310027,0.7617882898468887,0.031079548908912943,3
