model,status,n_parameters,n_points,n_pairs,train_rmse,train_median_error,cv_rmse,cv_median_error,cv_nrmse,cv_group_rmse_mean,cv_group_rmse_se,cv_folds_used
linear,ok,4,200,1,0.05616476934769849,0.03930540848181406,,,,,,0
similarity,ok,4,200,1,0.0021204627063663942,0.0018979302065668952,,,,,,0
affine,ok,6,200,1,0.0017721179471056642,0.001440746792529687,,,,,,0
